"agent_id","date_utc","timezone_string","time_zone","user_shift_assign"
541,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 11 Sun - Thu 08:30 PM
541,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 11 Sun - Thu 08:30 PM
541,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 11 Sun - Thu 08:30 PM
543,"2023-07-18",America/New_York,"04:00:00",DEL Sales 8 Tue - Sat 06:30 PM
543,"2023-07-19",America/New_York,"04:00:00",DEL Sales 8 Tue - Sat 06:30 PM
543,"2023-07-20",America/New_York,"04:00:00",DEL Sales 8 Tue - Sat 06:30 PM
558,"2023-07-18",Asia/Karachi,-5:00:00,DEL Sales 8 Tue - Sat 06:30 PM
558,"2023-07-19",Asia/Karachi,-5:00:00,DEL Sales 8 Tue - Sat 06:30 PM
558,"2023-07-20",Asia/Karachi,-5:00:00,DEL Sales 8 Tue - Sat 06:30 PM
587,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 5 Tue-Sat 4.30am
587,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 5 Tue-Sat 4.30am
587,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 5 Tue-Sat 4.30am
592,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
592,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
592,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
601,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
601,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
601,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
626,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
626,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
626,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
776,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 9 Sun-Thu 07.30
776,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 9 Sun-Thu 07.30
776,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 9 Sun-Thu 07.30
